"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity"
"BR-BT-01351-0009","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used only for information – defence directive.","6","Always","NULL","all","ERROR"
"BR-BT-01351-0011","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type .","T01","Always","NULL","all","ERROR"
"BR-BT-01351-0012","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","Always","NULL","all","ERROR"
"BR-BT-01351-0013","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","Always","NULL","all","ERROR"
"BR-BT-01351-0014","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","Always","NULL","all","ERROR"
"BR-BT-01351-0015","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","Always","NULL","all","ERROR"
"BR-BT-01351-0016","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","Always","NULL","all","ERROR"
"BR-BT-01351-0017","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type .","CEI","Always","NULL","all","ERROR"
"BR-BT-01351-0018","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","Always","NULL","all","ERROR"
"BR-BT-01351-0019","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","Always","NULL","all","ERROR"
"BR-BT-01351-0020","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","Always","NULL","all","ERROR"
"BR-BT-01351-0021","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","Always","NULL","all","ERROR"
"BR-BT-01351-0025","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Concession notice – concessions directive, standard regime.","19","Always","NULL","all","ERROR"
"BR-BT-01351-0027","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract notice – general directive, light regime.","20","Always","NULL","all","ERROR"
"BR-BT-01351-0028","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract notice – sectoral directive, light regime.","21","Always","NULL","all","ERROR"
"BR-BT-01351-0029","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Subcontract notice – defence directive.","22","Always","NULL","all","ERROR"
"BR-BT-01351-0030","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Design contest notice – general directive, design.","23","Always","NULL","all","ERROR"
"BR-BT-01351-0031","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Design contest notice – sectoral directive, design.","24","Always","NULL","all","ERROR"
"BR-BT-01351-0032","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Voluntary ex-ante transparency notice – general directive.","25","Always","NULL","all","ERROR"
